Date,Close/Last,Volume,Open,High,Low
09/13/2021,$98.75,709,$98.75,$98.75,$98.75
09/10/2021,$99,2083,$94.9,$99,$94.9
09/09/2021,$96.8,16302,$96.8,$96.8,$96.8
09/08/2021,$100,132,$100,$100,$100
09/07/2021,$101.9,N/A,$101.9,$101.9,$101.9
09/03/2021,$101.9,N/A,$101.9,$101.9,$101.9
09/02/2021,$101.9,N/A,$101.9,$101.9,$101.9
09/01/2021,$101.9,N/A,$101.9,$101.9,$101.9
08/31/2021,$101.9,N/A,$101.9,$101.9,$101.9
08/30/2021,$101.9,N/A,$101.9,$101.9,$101.9
08/27/2021,$101.9,250,$101.9,$101.9,$101.9
08/26/2021,$103,9637,$104,$104,$103
08/25/2021,$104,N/A,$104,$104,$104
08/24/2021,$104,143,$104,$104,$104
08/23/2021,$105.0232,56980,$103.34,$107.39,$103.34
08/20/2021,$110.2,N/A,$110.2,$110.2,$110.2
08/19/2021,$110.2,N/A,$110.2,$110.2,$110.2
08/18/2021,$110.2,1239,$110.2,$110.2,$110.12
08/17/2021,$108.1,N/A,$108.1,$108.1,$108.1
08/16/2021,$108.1,216,$108.1,$108.1,$108.1
08/13/2021,$100.6,N/A,$100.6,$100.6,$100.6
08/12/2021,$100.6,258,$105.52,$105.52,$100.6
08/11/2021,$100,75327,$100,$100,$100
08/10/2021,$101.9572,11833,$106.55,$106.55,$101.8857
08/09/2021,$102.58,N/A,$102.58,$102.58,$102.58
08/06/2021,$102.58,158,$102.58,$102.58,$102.58
08/05/2021,$102.55,130,$102.55,$102.55,$102.55
08/04/2021,$105.5,1776,$105.9,$105.9,$101.2007
08/03/2021,$100,N/A,$100,$100,$100
08/02/2021,$100,331,$102.85,$102.85,$100
07/30/2021,$104.98,1058,$101.6,$104.98,$101.6
07/29/2021,$101.44,39549,$101.54,$101.54,$101.44
07/28/2021,$102.9448,1183,$102.9448,$102.9448,$102.9448
07/27/2021,$101.351,N/A,$101.351,$101.351,$101.351
07/26/2021,$101.351,N/A,$101.351,$101.351,$101.351
07/23/2021,$101.351,551,$101.351,$101.351,$101.351
07/22/2021,$104.6325,330,$104.6325,$104.6325,$104.6325
07/21/2021,$102.6,331,$100.08,$102.6,$100.08
07/20/2021,$100.43,N/A,$100.43,$100.43,$100.43
07/19/2021,$100.43,202,$100.43,$100.43,$100.43
07/16/2021,$106.29,N/A,$106.29,$106.29,$106.29
07/15/2021,$106.29,N/A,$106.29,$106.29,$106.29
07/14/2021,$106.29,N/A,$106.29,$106.29,$106.29
07/13/2021,$106.29,850,$106.29,$106.29,$106.29
07/12/2021,$103,N/A,$103,$103,$103
07/09/2021,$103,1985,$106.75,$106.75,$103
07/08/2021,$106.91,N/A,$106.91,$106.91,$106.91
07/07/2021,$106.91,N/A,$106.91,$106.91,$106.91
07/06/2021,$106.91,N/A,$106.91,$106.91,$106.91
07/02/2021,$106.91,N/A,$106.91,$106.91,$106.91
07/01/2021,$106.91,N/A,$106.91,$106.91,$106.91
06/30/2021,$106.91,N/A,$106.91,$106.91,$106.91
06/29/2021,$106.91,696,$105.1537,$106.91,$105.1537
06/28/2021,$105.455,260,$105.455,$105.455,$105.455
06/25/2021,$103.66,121438,$103.66,$103.66,$103.66
06/24/2021,$107.7,988,$107.7,$107.75,$107.7
06/23/2021,$106.22,N/A,$106.22,$106.22,$106.22
06/22/2021,$106.22,N/A,$106.22,$106.22,$106.22
06/21/2021,$106.22,N/A,$106.22,$106.22,$106.22
06/18/2021,$106.22,143,$106.22,$106.22,$106.22
06/17/2021,$109.4,N/A,$109.4,$109.4,$109.4
06/16/2021,$109.4,254,$109.4,$109.4,$109.4
06/15/2021,$105.58,N/A,$105.58,$105.58,$105.58
06/14/2021,$105.58,N/A,$105.58,$105.58,$105.58
06/11/2021,$105.58,4316,$107.2,$109.41,$105.49
06/10/2021,$106,287,$106,$106,$106
06/09/2021,$105.5,113,$105.5,$105.5,$105.5
06/08/2021,$106.24,N/A,$106.24,$106.24,$106.24
06/07/2021,$106.24,760,$106.24,$106.24,$106.24
06/04/2021,$102.94,1169,$106.28,$106.36,$102.94
06/03/2021,$102.1,3914,$103.4808,$103.4808,$102.1
06/02/2021,$105,216,$105,$105,$105
06/01/2021,$108.15,852,$108.07,$108.15,$108.07
05/28/2021,$105,853,$105.08,$105.08,$105
05/27/2021,$105.832,11930,$106.5,$106.5,$105.832
05/26/2021,$106.3,N/A,$106.3,$106.3,$106.3
05/25/2021,$106.3,N/A,$106.3,$106.3,$106.3
05/24/2021,$106.3,6506,$112.65,$112.65,$106.3
05/21/2021,$105.06,N/A,$105.06,$105.06,$105.06
05/20/2021,$105.06,N/A,$105.06,$105.06,$105.06
05/19/2021,$105.06,N/A,$105.06,$105.06,$105.06
05/18/2021,$105.06,165,$105.06,$105.06,$105.06
05/17/2021,$105.29,958,$104.8,$105.29,$104.79
05/14/2021,$103.23,507,$103.23,$103.23,$103.23
05/13/2021,$102.61,17249,$102.48,$105,$102.48
05/12/2021,$98.75,N/A,$98.75,$98.75,$98.75
05/11/2021,$98.75,685,$105.92,$105.92,$98.75
05/10/2021,$105.0209,62365,$103.23,$105.0209,$103.23
05/07/2021,$103.5325,50228,$103.5325,$103.5325,$103.5325
05/06/2021,$101,N/A,$101,$101,$101
05/05/2021,$101,13259,$99.06,$101,$99.06
05/04/2021,$104.5,N/A,$104.5,$104.5,$104.5
05/03/2021,$104.5,944,$105.5,$105.5,$104.5
04/30/2021,$105.5,1142,$105.5,$105.5,$105.5
04/29/2021,$105.99,509,$105.99,$105.99,$105.99
04/28/2021,$105.99,52693,$105.91,$105.99,$105.91
04/27/2021,$103.75,189004,$103.75,$103.75,$103.75
04/26/2021,$102.96,N/A,$102.96,$102.96,$102.96
04/23/2021,$102.96,50257,$102.94,$102.96,$102.94
04/22/2021,$105.25,N/A,$105.25,$105.25,$105.25
04/21/2021,$105.25,1027,$105,$105.25,$105
04/20/2021,$104.17,718,$103.5,$104.17,$103.5
04/19/2021,$103,23376,$103,$103,$103
04/16/2021,$101.25,639,$102.42,$102.42,$100.25
04/15/2021,$100.9924,N/A,$100.9924,$100.9924,$100.9924
04/14/2021,$100.9924,419,$100.75,$100.9924,$100.75
04/13/2021,$95.75,244,$95.75,$95.75,$95.75
04/12/2021,$105.82,N/A,$105.82,$105.82,$105.82
04/09/2021,$105.82,493,$99.04,$105.82,$99.04
04/08/2021,$99.76,N/A,$99.76,$99.76,$99.76
04/07/2021,$99.76,304,$99.76,$99.76,$99.76
04/06/2021,$99.75,733,$99.6,$99.75,$99.39
04/05/2021,$94.7,138,$94.7,$94.7,$94.7
04/01/2021,$97.56,N/A,$97.56,$97.56,$97.56
03/31/2021,$97.56,N/A,$97.56,$97.56,$97.56
03/30/2021,$97.56,471,$97.56,$97.56,$97.56
03/29/2021,$99.425,259,$99.425,$99.425,$99.425
03/26/2021,$97.2,N/A,$97.2,$97.2,$97.2
03/25/2021,$97.2,12626,$97.2,$97.2,$97.2
03/24/2021,$95.53,2984,$97.18,$97.18,$95.53
03/23/2021,$99.17,110708,$99.04,$99.17,$98.5
03/22/2021,$98.15,N/A,$98.15,$98.15,$98.15
03/19/2021,$98.15,507,$98.35,$98.35,$97.6
03/18/2021,$97.25,157,$97.25,$97.25,$97.25
03/17/2021,$97.97,N/A,$97.97,$97.97,$97.97
03/16/2021,$97.97,N/A,$97.97,$97.97,$97.97
03/15/2021,$97.97,331,$97.97,$97.97,$97.97
03/12/2021,$94.05,50228,$94.05,$94.05,$94.05
03/11/2021,$95.15,N/A,$95.15,$95.15,$95.15
03/10/2021,$95.15,427,$95.1,$95.15,$95.1
03/09/2021,$92.6,1517,$94.4033,$94.4033,$92.6
03/08/2021,$91.53,10466,$91.53,$91.53,$91.53
03/05/2021,$91.4,449,$91.35,$91.4,$91.35
03/04/2021,$88.75,980,$92.3913,$92.3913,$88.75
03/03/2021,$91.3,N/A,$91.3,$91.3,$91.3
03/02/2021,$91.3,2501,$90.21,$91.3,$90.21
03/01/2021,$91.9,515,$93.02,$93.02,$91.9
02/26/2021,$92.82,243,$92.82,$92.82,$92.82
02/25/2021,$89.1,491,$89.1,$89.1,$89.1
02/24/2021,$93.0155,N/A,$93.0155,$93.0155,$93.0155
02/23/2021,$93.0155,222,$93.0155,$93.0155,$93.0155
02/22/2021,$92.2,990,$89.38,$92.2,$89.3
02/19/2021,$95.02,N/A,$95.02,$95.02,$95.02
02/18/2021,$95.02,272,$95.02,$95.02,$95.02
02/17/2021,$94.6933,475,$94.6933,$94.6933,$94.6933
02/16/2021,$95.45,8500,$93.7,$95.45,$93.6
02/12/2021,$93.85,735,$94.92,$94.92,$93.85
02/11/2021,$94.0975,1730,$94.375,$94.375,$94.0975
02/10/2021,$96,931,$97,$97,$96
02/09/2021,$97.1532,N/A,$97.1532,$97.1532,$97.1532
02/08/2021,$97.1532,2552,$96.255,$97.1532,$96.255
02/05/2021,$96.1238,871,$96.1238,$96.1238,$96.1238
02/04/2021,$94.2809,2000,$94.2809,$94.2809,$94.2809
02/03/2021,$93.3458,285,$93.3458,$93.3458,$93.3458
02/02/2021,$94.65,6277,$94.3984,$94.65,$94.3984
02/01/2021,$90.93,428,$92.5625,$92.5625,$90.93
