Date,Close/Last,Volume,Open,High,Low
10/21/2021,$78.7,5904311,$77.72,$78.74,$76.7201
10/20/2021,$78.08,4537908,$77.52,$78.08,$77.081
10/19/2021,$77.18,4238549,$76.77,$77.2,$75.95
10/18/2021,$76.4,5417407,$76.14,$76.72,$75.24
10/15/2021,$76.4,6472760,$76.5,$77.07,$76.1899
10/14/2021,$76.11,5471702,$75.94,$77.16,$75.57
10/13/2021,$75.25,6598863,$75.34,$76.1,$75.02
10/12/2021,$74.92,6640867,$76.45,$76.54,$74.5882
10/11/2021,$76.32,6326425,$77.74,$77.76,$76.26
10/08/2021,$77.61,8885204,$77.76,$78.36,$77.25
10/07/2021,$77.36,8527360,$77.266,$78.5,$76.77
10/06/2021,$77.29,9477598,$75.93,$78.0301,$75.69
10/05/2021,$76.8,9771203,$77.252,$77.65,$76.23
10/04/2021,$77.18,5955585,$78.19,$78.32,$76.86
10/01/2021,$78.53,5861312,$78.06,$79.04,$77.2
09/30/2021,$77.39,7539277,$77.56,$78.41,$77
09/29/2021,$77.38,9700752,$76.53,$78.93,$76.5
09/28/2021,$76.33,11157240,$74.66,$77.08,$74.66
09/27/2021,$75.08,6517919,$75.03,$75.95,$73.69
09/24/2021,$75.26,7429756,$74.5,$75.59,$74.11
09/23/2021,$74.67,9311061,$73.13,$75.47,$72.711
09/22/2021,$72.81,10297290,$73.189,$74.03,$72.2
09/21/2021,$73.03,14206880,$76.61,$76.64,$72.94
09/20/2021,$76.18,12231910,$78.64,$78.8192,$74.87
09/17/2021,$79.56,11009590,$79.42,$80.5,$78
09/16/2021,$79.28,9376818,$78.32,$79.6,$78.04
09/15/2021,$78.25,5526545,$77.731,$78.77,$77.1
09/14/2021,$77.84,6235312,$78.782,$78.89,$77.66
09/13/2021,$78.53,7337436,$80.12,$80.76,$78.15
09/10/2021,$79.64,12098750,$78.158,$80.84,$77.34
09/09/2021,$78.05,11325820,$78.81,$79.41,$77.1346
09/08/2021,$80.29,8227738,$78.47,$80.315,$78.27
09/07/2021,$78.47,15538230,$81.405,$81.42,$77.89
09/03/2021,$81.18,5606344,$81.214,$81.65,$80.78
09/02/2021,$81.31,8434663,$82.75,$82.85,$81.14
09/01/2021,$82.3,6226039,$82.73,$83.38,$82
08/31/2021,$82.37,9477852,$81.48,$83.375,$81.2
08/30/2021,$81.12,8405217,$81.5,$81.56,$79.92
08/27/2021,$82.43,6000927,$81.445,$82.66,$81.3
08/26/2021,$81.25,7364970,$81.59,$82.49,$81.19
08/25/2021,$80.81,10410280,$82.12,$82.12,$80
08/24/2021,$81.79,11799470,$82.745,$82.81,$81.19
08/23/2021,$82.22,8666103,$82.93,$83.49,$81.89
08/20/2021,$82.63,7366216,$82.87,$83.67,$82.22
08/19/2021,$83.17,5449716,$82.21,$84.535,$82.19
08/18/2021,$82.83,4559761,$83.6,$84.14,$82.77
08/17/2021,$83.37,4780392,$83.05,$84.39,$82.47
08/16/2021,$83.85,4321030,$83.5,$84.025,$83.05
08/13/2021,$83.85,5369185,$86.3,$86.39,$83.45
08/12/2021,$85.17,7353236,$85.11,$85.475,$83.17
08/11/2021,$85,13387700,$83.51,$86.23,$83.075
08/10/2021,$82.99,7770048,$81.755,$83.36,$81.27
08/09/2021,$81.41,6082919,$81.855,$82.385,$81.24
08/06/2021,$82.43,9692104,$79.9,$82.5,$79.9
08/05/2021,$80.32,9871569,$81.557,$82.04,$79.35
08/04/2021,$81.52,19758070,$83.51,$83.9,$80.45
08/03/2021,$79.83,17329550,$80.99,$81.45,$77.81
08/02/2021,$82.76,6224965,$84.03,$84.165,$82.54
07/30/2021,$83.62,7055871,$83.15,$84.65,$82.85
07/29/2021,$83.57,10839470,$84.87,$85.22,$83.5
07/28/2021,$84.82,13160390,$84.885,$87.3,$84.7189
07/27/2021,$84.05,23141140,$89.94,$89.94,$81.56
07/26/2021,$90.14,4587381,$91.026,$91.4,$89.99
07/23/2021,$91.5,3889261,$90.66,$91.73,$90.02
07/22/2021,$90.47,5159472,$90.39,$90.68,$89.555
07/21/2021,$91.17,5725670,$91.78,$91.92,$90.4
07/20/2021,$91.51,6626968,$90.62,$91.71,$89.56
07/19/2021,$90.3,7741601,$91.75,$92.25,$89.895
07/16/2021,$91.8,7411400,$90.87,$92.39,$90.84
07/15/2021,$90.68,8746116,$92.37,$92.6,$90.595
07/14/2021,$92.32,4959094,$93.54,$93.77,$92.1
07/13/2021,$93.25,5476738,$93.496,$93.86,$92.87
07/12/2021,$92.91,4054655,$93.33,$93.4164,$92.43
07/09/2021,$92.38,3587034,$91.88,$92.6,$91.46
07/08/2021,$92.18,6128580,$92.4,$93.05,$91.75
07/07/2021,$93.31,3444216,$95.26,$95.27,$93.14
07/06/2021,$94.4,3833315,$94.47,$95.2,$93.68
07/02/2021,$94.27,3101602,$94.75,$95.04,$93.58
07/01/2021,$93.9,5055125,$95.07,$95.4,$93.22
06/30/2021,$95.44,4372567,$95.72,$95.99,$95.14
06/29/2021,$95.61,4160346,$95.42,$95.91,$94.07
06/28/2021,$95.4,7032864,$92.79,$96.15,$92.6
06/25/2021,$92.26,8943314,$92.64,$93.74,$92.17
06/24/2021,$92.51,5640124,$91.86,$93.07,$91.55
06/23/2021,$90.79,6446805,$91.87,$91.98,$90.23
06/22/2021,$91.88,4654067,$91.95,$92.1,$91.18
06/21/2021,$91.82,4659629,$91.88,$92.76,$90.855
06/18/2021,$91.49,8509868,$93.12,$93.37,$91.05
06/17/2021,$93.19,5088102,$93.63,$94.46,$92.67
06/16/2021,$94.06,7441152,$95.75,$95.95,$92.78
06/15/2021,$95.97,6153968,$98.86,$98.99,$95.38
06/14/2021,$99.18,5732896,$98.39,$99.459,$97.61
06/11/2021,$98.15,4112876,$97.795,$98.355,$97.36
06/10/2021,$97.69,4409469,$96.28,$97.88,$96.09
06/09/2021,$96.53,3608569,$97.35,$97.93,$96.38
06/08/2021,$96.8,2596873,$97.45,$97.61,$96.59
06/07/2021,$97.12,2655221,$96.89,$97.29,$96.28
06/04/2021,$96.84,2990856,$95.14,$97.32,$95.14
06/03/2021,$94.98,3805248,$94.5,$95.71,$94.065
06/02/2021,$95.39,3278097,$96.33,$96.65,$94.98
06/01/2021,$96.45,3502589,$97.26,$97.6,$96.13
05/28/2021,$97.25,3092385,$97.44,$98.08,$97.17
05/27/2021,$97.25,7742660,$97,$97.57,$96.59
05/26/2021,$97.3,3880531,$97.1192,$98.4801,$96.81
05/25/2021,$96.57,3284397,$96.87,$97.37,$96.27
05/24/2021,$96.5,3196828,$95.93,$96.77,$95.82
05/21/2021,$95.37,5431890,$96.97,$97.07,$95.25
05/20/2021,$96.57,6742878,$94.64,$97.23,$94.58
05/19/2021,$94.26,4213927,$92.27,$94.42,$92.2
05/18/2021,$93.66,6263303,$92.55,$95.35,$92.25
05/17/2021,$92.3,5174442,$92.68,$93.08,$91.53
05/14/2021,$93.35,3656387,$94.4,$94.4,$93.06
05/13/2021,$93.42,4741551,$93.47,$94.045,$92.825
05/12/2021,$92.66,6176215,$94.28,$94.8,$92.26
05/11/2021,$95.34,6530656,$93.66,$95.77,$92.94
05/10/2021,$93.17,6067521,$95.06,$95.74,$93.14
05/07/2021,$94.8,6511803,$93.43,$95.12,$93.035
05/06/2021,$93.03,8024564,$90,$93.52,$89.64
05/05/2021,$90.08,13079310,$93.6,$94.77,$90
05/04/2021,$88.69,15147510,$90.84,$90.97,$87.44
05/03/2021,$91.15,6641764,$91.7,$92.02,$90.79
04/30/2021,$91.19,6614347,$91.355,$91.9868,$90.89
04/29/2021,$92.09,4796355,$91.67,$92.16,$91.08
04/28/2021,$91.25,6692846,$92.29,$92.3,$91
04/27/2021,$91.6,8922151,$94.51,$94.86,$91.26
